READ,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
3077,0.404473,0.402805,0.401988,0.402555,0.40317,0.403003,0.401908,0.40068,0.400065,0.39998,0.399801,0.399336,0.398213,0.39611,0.391154,0.383574,0.375554,0.367274,0.358375,0.349069,0.339703,0.330361,0.321004,0.312204,0.304156,0.296183,0.288282,0.281487,0.275583,0.271153,0.268337,0.267353,0.267281,0.267219,0.266839,0.265671,0.264556,0.262638,0.262231,0.264837,0.268583,0.270651,0.273384,0.27678,0.279471,0.279938,0.279964,0.27964,0.277614,0.274635
3089,0.543464,0.538942,0.532453,0.523466,0.512205,0.49932,0.48647,0.47444,0.463588,0.453661,0.444572,0.437474,0.4315,0.426149,0.423205,0.422912,0.423244,0.422253,0.420645,0.41981,0.419097,0.416858,0.413415,0.40974,0.405621,0.3997,0.392005,0.383432,0.37441,0.365135,0.355836,0.346479,0.337244,0.32847,0.320624,0.314144,0.309905,0.308048,0.308157,0.309631,0.311242,0.311938,0.312279,0.312819,0.314204,0.316227,0.318125,0.31964,0.321549,0.323384
3104,0.489156,0.485958,0.48232,0.477656,0.472331,0.467268,0.46275,0.458881,0.455372,0.452196,0.449094,0.445955,0.44288,0.439298,0.435494,0.431732,0.428108,0.424194,0.420443,0.4173,0.414308,0.410303,0.404529,0.398225,0.392414,0.386033,0.378063,0.369432,0.361108,0.352942,0.34497,0.337503,0.330136,0.323726,0.31892,0.315318,0.313363,0.313408,0.315787,0.319437,0.32434,0.330652,0.337731,0.344117,0.348927,0.352237,0.355112,0.357162,0.357401,0.355351
3105,0.444613,0.436722,0.428682,0.419349,0.41089,0.404079,0.39947,0.39663,0.394907,0.394435,0.394527,0.39413,0.394585,0.395501,0.393181,0.38782,0.382198,0.37657,0.369569,0.361037,0.353286,0.347156,0.341736,0.336596,0.332393,0.328574,0.32402,0.318315,0.31183,0.306184,0.302536,0.301512,0.303624,0.308438,0.315111,0.32204,0.327203,0.330995,0.333985,0.33578,0.336196,0.334068,0.33076,0.328007,0.3266,0.326997,0.328938,0.333426,0.341005,0.348481
3111,0.420179,0.41698,0.414146,0.412709,0.41255,0.413143,0.413974,0.415009,0.416619,0.416605,0.414988,0.413063,0.411889,0.410115,0.405713,0.398139,0.390171,0.382793,0.374511,0.364853,0.35547,0.347443,0.340425,0.334202,0.329511,0.327037,0.326273,0.326098,0.326619,0.329046,0.333094,0.336669,0.339795,0.344369,0.350888,0.359079,0.367058,0.373195,0.377971,0.380691,0.381209,0.379097,0.374648,0.368429,0.360422,0.352153,0.344054,0.336051,0.328123,0.32092
4013,0.332287,0.33297,0.334247,0.335918,0.338083,0.34042,0.342527,0.344697,0.346564,0.347484,0.347922,0.347892,0.346013,0.343402,0.340616,0.337656,0.334545,0.330921,0.32757,0.324613,0.322342,0.320586,0.318971,0.317476,0.315334,0.312163,0.307493,0.301984,0.296478,0.291854,0.287884,0.283736,0.279827,0.27655,0.273545,0.271325,0.269912,0.26861,0.266829,0.264564,0.26181,0.259088,0.256953,0.256464,0.258126,0.261501,0.265599,0.269659,0.274333,0.27918
4014,0.59788,0.598782,0.599729,0.601386,0.603107,0.602925,0.601352,0.598989,0.591349,0.57756,0.561097,0.54525,0.534116,0.526382,0.519597,0.513697,0.510427,0.510542,0.51391,0.516236,0.514061,0.510254,0.505864,0.497507,0.485471,0.472131,0.458599,0.445173,0.432923,0.422544,0.414883,0.411276,0.411544,0.415692,0.421809,0.425569,0.427722,0.429267,0.429959,0.430526,0.431071,0.431554,0.431809,0.431909,0.431929,0.431472,0.430042,0.428079,0.426592,0.426175
4037,0.553478,0.552348,0.551351,0.550574,0.547654,0.540611,0.527555,0.513967,0.503677,0.496949,0.493914,0.495486,0.501888,0.506242,0.51286,0.519804,0.522307,0.519445,0.508435,0.491866,0.475303,0.460451,0.446275,0.433568,0.421588,0.412839,0.40687,0.403198,0.403531,0.409023,0.411009,0.41015,0.413005,0.418358,0.418303,0.405821,0.386088,0.366979,0.359995,0.362766,0.367549,0.371194,0.372013,0.3777,0.376655,0.373931,0.376065,0.382399,0.392724,0.400975
4053,0.433548,0.430389,0.425654,0.423133,0.423384,0.421917,0.414065,0.404917,0.397599,0.390559,0.381008,0.369826,0.360489,0.354063,0.349198,0.344392,0.339657,0.335343,0.330634,0.326087,0.321062,0.314853,0.30794,0.300907,0.295212,0.291661,0.29026,0.290471,0.291425,0.292253,0.291144,0.289381,0.289651,0.29185,0.294877,0.29644,0.299699,0.30597,0.314839,0.322445,0.328521,0.333377,0.338335,0.340067,0.33924,0.336762,0.335261,0.335894,0.336711,0.335886
4055,0.491123,0.487218,0.482066,0.476366,0.468695,0.45844,0.448523,0.439264,0.431158,0.424414,0.418933,0.414426,0.408855,0.401681,0.394869,0.388803,0.383055,0.37729,0.371708,0.366744,0.361141,0.354195,0.347099,0.340144,0.33327,0.326383,0.320118,0.3148,0.311056,0.309313,0.30891,0.309046,0.309239,0.30908,0.307564,0.305742,0.305791,0.30755,0.31094,0.315622,0.320324,0.323959,0.327037,0.329546,0.331135,0.330065,0.327271,0.324553,0.322351,0.320233
